order_id,order_date,customer_id,region,channel,product,category,quantity,unit_price,discount_pct,revenue,cost,profit,status,month,profit_margin
ORD00001,2024-02-07,C1210,Waterford,Website,Speaker,Audio,3,54.99,0.1,148.47,96.39,52.08,Completed,2024-02,0.3507779349363508
ORD00002,2024-08-10,C1107,Dublin,Mobile App,Laptop Stand,Accessories,3,28.99,0.0,86.97,42.59,44.38,Completed,2024-08,0.510290904909739
ORD00003,2024-04-24,C1161,Waterford,Website,Smart Watch,Wearables,1,149.99,0.15,127.49,65.3,62.19,Completed,2024-04,0.48780296493842656
ORD00004,2024-03-09,C1074,Limerick,Mobile App,Smart Watch,Wearables,1,149.99,0.0,149.99,73.81,76.18,Completed,2024-03,0.5079005267017801
ORD00005,2024-10-19,C1163,Cork,Marketplace,Standing Desk,Furniture,1,299.99,0.0,299.99,152.03,147.96,Completed,2024-10,0.4932164405480183
ORD00006,2024-12-14,C1136,Limerick,Marketplace,Wireless Mouse,Accessories,2,19.99,0.15,33.98,18.13,15.85,Completed,2024-12,0.4664508534432019
ORD00007,2024-12-23,C1199,Cork,Website,Fitness Band,Wearables,1,49.99,0.0,49.99,34.32,15.67,Completed,2024-12,0.31346269253850767
ORD00008,2024-05-27,C1155,Dublin,Website,Office Chair,Furniture,1,179.99,0.05,170.99,114.5,56.49,Completed,2024-05,0.330370197087549
ORD00009,2024-08-03,C1010,Dublin,Marketplace,Keyboard,Accessories,2,74.99,0.0,149.98,108.38,41.6,Completed,2024-08,0.27737031604213896
ORD00010,2024-02-05,C1215,Dublin,Marketplace,Speaker,Audio,2,54.99,0.15,93.48,64.24,29.24,Completed,2024-02,0.31279418057338465
ORD00011,2024-12-14,C1210,Limerick,Marketplace,Wireless Mouse,Accessories,1,19.99,0.05,18.99,12.31,6.68,Completed,2024-12,0.3517640863612428
ORD00012,2024-11-08,C1029,Limerick,Website,Speaker,Audio,1,54.99,0.1,49.49,28.33,21.16,Completed,2024-11,0.4275611234592847
